"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Kategorie Ebene 1";"Kategorie Ebene 2";"Kategorie Ebene 3";"Kategorie Ebene 4";"Kategorie Ebene 5";"Kategorie Ebene 6";"Kategorie Ebene 7";"Kategorie Ebene 8";"Kategorie Ebene 9";"Kategorie Ebene 10";"URL-Pfad";"Beschreibung";"Title-Tag";"Meta-Description";"Meta-Keywords";
"603385";"Zutat - Brötchen";"249";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"604900";"Hähnchenschnitzelsemmel";"248";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"603379";"Zutat - Dönerbrot / Fladenbrot";"247";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"603378";"Zutat - Pesto";"246";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"603377";"Zutat - Salat";"245";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"603376";"Zutat - Tomate";"244";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"603410";"Zutat - Mozzarella";"243";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"601533";"Knorr Pasta Snack Pot Tomato & Mozzarella 63g";"242";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"601535";"Knorr Pasta Snack Pot Mac & Cheese Jalapeno 62g";"241";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"601530";"Knorr Pasta Snack Pot Käse & Kräuter 59g";"240";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"601520";"Knorr Pasta Snack Pot Bolognese 60g";"239";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"601510";"Knorr Asia Noodles Beef Taste 63g";"238";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"201620";"tic tac fruity mix 18g";"237";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"201610";"tic tac citrus mix 18g";"236";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"208600";"Müsli - Nestle versch. Sorten";"234";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"207100";"Ritz Cracker";"233";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"604800";"Crossaint";"232";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"603380";"Zutat - Gurke";"231";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"604700";"Tomaten-Mozzarella Semmel mit Pesto und Balsamico";"230";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"604600";"Nussschnecke";"229";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"604500";"Focaccia Vegetale (Gemüse)";"228";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"604400";"Focaccia Caprese (Mozzarella,Tomaten,Oliven)";"227";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"604300";"Focaccia Rustica (Schinken Käse)";"226";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"603130";"Zutat - Frischkäse";"225";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"604200";"Laugenstange - Frischkäse mit Gurke";"224";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"208500";"Lebkuchen Herz/Stern/Brez";"223";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"208400";"Weihnachtsmann";"222";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"604100";"Krapfen";"221";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"603120";"Zutat - Toasty Hahnchen Brust Filet";"220";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"208300";"Lebkuchen Herzen 200g";"219";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"208200";"Domino Stars";"218";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"208100";"Gewürz Spekulatius";"217";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"300150";"Today Tampons 1 Stk";"216";;;;"03 Hygiene";;;;;;;;;;;;;;;
"300250";"Always Damenbinden Größe Maxi 1 Stk.";"215";;;;"03 Hygiene";;;;;;;;;;;;;;;
"301700";"Share Handcreme Mandelöl & Sandelholz 75ml";"214";;;;"03 Hygiene";;;;;;;;;;;;;;;
"301600";"Nivea Handcreme Intensive Pflege 75ml";"213";;;;"03 Hygiene";;;;;;;;;;;;;;;
"301500";"Alviana Handcreme Soft mit Bio-Aloe Vera 75ml";"212";;;;"03 Hygiene";;;;;;;;;;;;;;;
"604010";"Wasa Sandwich Pesto";"211";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"101550";"Adelholzener Apfelschorle 0,5l PET";"210";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"208000";"Bounty klein 28,5g";"209";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"207000";"Erdnuss Locken";"208";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"701300";"EIS Snickers Eisriegel";"207";;;;"07 Eis";;;;;;;;;;;;;;;
"701200";"EIS Magnum Double Sunlover";"206";;;;"07 Eis";;;;;;;;;;;;;;;
