"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Kategorie Ebene 1";"Kategorie Ebene 2";"Kategorie Ebene 3";"Kategorie Ebene 4";"Kategorie Ebene 5";"Kategorie Ebene 6";"Kategorie Ebene 7";"Kategorie Ebene 8";"Kategorie Ebene 9";"Kategorie Ebene 10";"URL-Pfad";"Beschreibung";"Title-Tag";"Meta-Description";"Meta-Keywords";
"204600";"M&M Crispy 36g";"146";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"601400";"Berchtesgadener Land Frucht Knusper Erdbeere";"144";;;;"06 Essen";"6.4 Milchprodukte";;;;;;;;;;;;;;
"601300";"Berchtesgadener Land Vanille Knusper";"143";;;;"06 Essen";"6.4 Milchprodukte";;;;;;;;;;;;;;
"101700";"Adelholzener sanft 0,5l PET";"142";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"101210";"Kaffeegetränk Espresso";"141";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"701100";"EIS  Ice Pops 1 Stück";"140";;;;"07 Eis";;;;;;;;;;;;;;;
"101500";"Adelholzener Multivitamin 0,5l";"139";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"101400";"Adelholzener Mango 0,5l";"138";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"101300";"Adelholzener Lemon 0,5l";"137";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"101200";"Kaffeegetränk Latte Macchiato";"136";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"101100";"Kaffeegetränk Cappuccino";"135";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"301400";"Balea Wasserspray Aqua, 150 ml";"133";;;;"03 Hygiene";;;;;;;;;;;;;;;
"301300";"o.b. Tampons Pro Comfort Super, 1 PG";"132";;;;"03 Hygiene";;;;;;;;;;;;;;;
"301200";"Balea Deospray Sensitiv, 200ml";"131";;;;"03 Hygiene";;;;;;;;;;;;;;;
"301100";"Balea MEN Antitranspirent Deospray extra dry 200ml";"130";;;;"03 Hygiene";;;;;;;;;;;;;;;
"204500";"Leibniz MINI Choco Keks 125g";"126";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"204400";"Ja! Salzstangen mit Meersalz 250g";"125";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"701000";"EIS Split Cuja Maja / Fruit Surfer";"124";;;;"07 Eis";;;;;;;;;;;;;;;
"700900";"EIS Flutschfinger";"123";;;;"07 Eis";;;;;;;;;;;;;;;
"700800";"EIS Big Sandwich Schöller";"122";;;;"07 Eis";;;;;;;;;;;;;;;
"700700";"EIS Magnum Mandel Almond";"121";;;;"07 Eis";;;;;;;;;;;;;;;
"700600";"EIS Magnum Classic";"120";;;;"07 Eis";;;;;;;;;;;;;;;
"700500";"EIS Kaktus";"119";;;;"07 Eis";;;;;;;;;;;;;;;
"700400";"EIS Eiskonfekt";"118";;;;"07 Eis";;;;;;;;;;;;;;;
"700300";"EIS ja! Sandwich Eis Classic 8x90ml";"117";;;;"07 Eis";;;;;;;;;;;;;;;
"700200";"EIS Cola&Eis Calippo";"116";;;;"07 Eis";;;;;;;;;;;;;;;
"700100";"EIS Capri";"115";;;;"07 Eis";;;;;;;;;;;;;;;
"700000";"EIS Cornetto Classico";"114";;;;"07 Eis";;;;;;;;;;;;;;;
"601200";"Exquisa Käsekuchen Snack";"113";;;;"06 Essen";"6.4 Milchprodukte";;;;;;;;;;;;;;
"601100";"Käselaugenstange";"112";;;;"06 Essen";;;;;;;;;;;;;;;
"100900";"Capri Sonne 0,2l Monster Alarm";"111";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"601000";"Käsebrezen mit Schinken";"110";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"600900";"Butterlaugenstange";"109";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"200510";"NicNac's 35g";"108";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"400700";"Ja! Servietten 100 Stück";"107";;;;"04 Allrounder";;;;;;;;;;;;;;;
"204300";"Nutella Sticks";"106";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"204200";"Prinzen Rolle Doppelkeks Minis";"105";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"200210";"Pringles Sour Cream & Onion 40g";"104";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"204000";"Katjes Peace & Love vegan 200 g";"102";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"100700";"Capri Sonne 0,2l Safari Fruits";"101";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"203900";"M&M Peanut 45g";"99";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"400600";"Löffel";"98";;;;"04 Allrounder";;;;;;;;;;;;;;;
"203800";"Chupa Chups Lutscher";"97";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"203600";"kinder Country";"96";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"203500";"PiCK UP! Original";"95";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"203400";"kinder Bueno";"94";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"101015";"Haferdrink Oatly 0,5L";"91";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"203300";"kinder Riegel";"90";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"203200";"Giotto Haselnuß 38,7g";"89";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"203100";"Bahlsen Chokini";"88";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"100320";"Capri Sonne 0,2l Orange";"87";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"100310";"Capri Sonne 0,2l Kirsch";"86";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
